year,week,team_1,team_1_score,team_1_proj,team_1_result,team_2,team_2_score,team_2_proj,team_2_result
2021,4,Peyton,148.32,133.27,Loss,Houston,153.32,127.51,Win
2021,4,Weston,109.76,143.13,Win,Rhett,92.00,143.04,Loss
2021,4,Korben,91.16,132.86,Loss,James,168.72,136.06,Win
2021,4,Brayden,145.38,136.09,Loss,Saxon,159.26,121.79,Win
2021,4,Ben,129.12,142.67,Win,Justice,97.62,138.30,Loss
2021,5,Abhi,137.34,150.92,Win,Saxon,104.24,122.36,Loss
2021,5,Peyton,137.66,132.35,Win,Weston,135.58,130.81,Loss
2021,5,Rhett,177.88,145.35,Win,Korben,150.58,133.06,Loss
2021,5,Brayden,172.12,127.37,Win,Justice,146.70,127.11,Loss
2021,5,Ben,216.36,146.47,Win,Houston,135.86,140.19,Loss
2021,5,Ryan,158.54,113.75,Win,James,107.58,140.76,Loss
2021,6,Abhi,138.80,149.82,Win,Ben,130.50,142.92,Loss
2021,6,Peyton,151.42,130.52,Win,Ryan,86.90,117.27,Loss
2021,6,Weston,130.06,125.10,Loss,Justice,149.62,128.52,Win
2021,6,Rhett,156.84,133.86,Win,Saxon,101.12,117.61,Loss
2021,6,Korben,135.90,123.06,Win,Brayden,125.06,132.09,Loss
2021,6,James,180.50,134.52,Win,Houston,148.16,138.59,Loss
2021,7,Abhi,117.74,135.91,Loss,Peyton,128.54,119.15,Win
2021,7,Weston,127.34,118.66,Win,Saxon,110.24,115.67,Loss
2021,7,Rhett,126.16,131.93,Win,James,112.24,138.31,Loss
2021,7,Korben,187.80,118.00,Win,Ryan,127.98,124.69,Loss
2021,7,Brayden,104.44,99.53,Loss,Ben,150.46,136.99,Win
2021,7,Houston,137.84,134.20,Win,Justice,121.88,119.67,Loss
2021,8,Abhi,146.20,147.28,Win,Rhett,135.68,135.93,Loss
2021,8,Peyton,97.56,134.38,Loss,Saxon,98.12,126.27,Win
2021,8,Weston,124.02,125.90,Win,Ryan,109.62,105.59,Loss
2021,8,Korben,137.62,136.25,Win,Ben,100.76,121.75,Loss
2021,8,Brayden,107.88,138.87,Win,Houston,86.36,141.97,Loss
2021,8,James,118.50,150.97,Loss,Justice,122.26,128.44,Win
2021,9,Abhi,157.90,124.36,Win,Brayden,132.28,138.34,Loss
2021,9,Peyton,101.16,135.86,Loss,Korben,102.34,131.06,Win
2021,9,Weston,153.46,130.90,Win,Houston,125.82,112.28,Loss
2021,9,Rhett,97.16,137.28,Loss,Ben,97.84,128.15,Win
2021,9,Ryan,141.94,121.99,Win,Justice,94.08,132.53,Loss
2021,9,Saxon,101.30,122.15,Win,James,83.52,127.09,Loss
2021,10,Abhi,140.70,152.42,Win,Weston,74.40,128.09,Loss
2021,10,Peyton,133.00,143.78,Win,Brayden,128.04,143.51,Loss
2021,10,Rhett,170.38,147.18,Win,Ryan,95.96,113.29,Loss
2021,10,Korben,106.50,145.64,Win,Justice,90.64,124.28,Loss
2021,10,Ben,121.88,143.76,Loss,James,137.34,134.61,Win
2021,10,Saxon,68.20,112.49,Loss,Houston,68.24,105.31,Win
2021,11,Abhi,165.18,144.01,Win,Korben,160.48,139.98,Loss
2021,11,Peyton,63.04,123.97,Loss,Justice,98.92,121.15,Win
2021,11,Weston,129.48,129.88,Win,James,102.64,139.84,Loss
2021,11,Rhett,141.52,144.18,Loss,Brayden,170.80,136.02,Win
2021,11,Ben,141.80,133.91,Win,Saxon,108.96,105.97,Loss
2021,11,Ryan,70.24,106.14,Loss,Houston,111.32,95.49,Win
2021,12,Abhi,69.14,143.58,Loss,Houston,125.48,117.44,Win
2021,12,Peyton,155.00,134.94,Loss,James,164.28,124.23,Win
2021,12,Weston,122.90,127.44,Win,Brayden,110.46,145.20,Loss
2021,12,Rhett,109.68,142.81,Win,Justice,96.16,119.16,Loss
2021,12,Korben,156.20,131.44,Win,Saxon,123.14,119.61,Loss
2021,12,Ben,150.98,125.61,Win,Ryan,72.68,119.32,Loss
2021,13,Abhi,140.72,142.51,Loss,Rhett,177.40,149.50,Win
2021,13,Peyton,116.42,141.65,Win,Saxon,77.68,114.06,Loss
2021,13,Weston,147.60,126.20,Win,Ryan,92.30,112.66,Loss
2021,13,Korben,114.46,118.28,Win,Ben,98.54,120.40,Loss
2021,13,Brayden,198.26,145.18,Win,Houston,124.74,129.79,Loss
2021,13,James,115.52,132.93,Loss,Justice,124.68,127.09,Win
2021,14,Abhi,170.32,140.60,Win,Ryan,70.90,121.18,Loss
2021,14,Peyton,154.94,142.44,Win,Houston,108.36,123.30,Loss
2021,14,Weston,127.10,133.36,Loss,Rhett,157.08,145.23,Win
2021,14,Korben,166.50,134.58,Win,James,115.02,137.80,Loss
2021,14,Brayden,162.96,115.99,Win,Saxon,95.38,117.92,Loss
2021,14,Ben,142.84,140.29,Win,Justice,129.42,117.46,Loss
2021,15,Abhi,94.06,142.76,Loss,James,119.10,126.25,Win
